Date,City,Temperature,Weather Description
2000-01-01,Chicago,37.66375,sky is clear
2000-01-01,Houston,55.71,sky is clear
2000-01-01,Los Angeles,51.26208333333333,broken clouds
2000-01-01,Miami,71.22966666666666,scattered clouds
2000-01-01,New York,36.285862068965514,sky is clear
2000-01-01,Phoenix,54.232499999999995,scattered clouds
2000-01-01,Seattle,42.222500000000004,light rain
2000-01-02,Chicago,46.97208333333333,overcast clouds
2000-01-02,Houston,71.135,broken clouds
2000-01-02,Los Angeles,51.778333333333336,broken clouds
2000-01-02,Miami,72.72208333333333,few clouds
2000-01-02,New York,43.92807692307693,sky is clear
2000-01-02,Phoenix,48.357499999999995,scattered clouds
2000-01-02,Seattle,40.24,broken clouds
2000-01-03,Chicago,38.21,haze
2000-01-03,Houston,71.02958333333333,overcast clouds
2000-01-03,Los Angeles,52.16083333333333,sky is clear
2000-01-03,Miami,73.52583333333332,scattered clouds
2000-01-03,New York,54.99071428571428,scattered clouds
2000-01-03,Phoenix,44.49166666666667,scattered clouds
2000-01-03,Seattle,39.175000000000004,light rain
2000-01-04,Chicago,31.747241379310342,mist
2000-01-04,Houston,51.37166666666667,sky is clear
2000-01-04,Los Angeles,57.17958333333333,sky is clear
2000-01-04,Miami,74.5325,scattered clouds
2000-01-04,New York,55.715555555555554,overcast clouds
2000-01-04,Phoenix,47.32416666666666,sky is clear
2000-01-04,Seattle,45.57416666666666,light rain
2000-01-05,Chicago,24.69148148148148,mist
2000-01-05,Houston,41.23583333333333,sky is clear
2000-01-05,Los Angeles,57.36166666666667,sky is clear
2000-01-05,Miami,71.885,scattered clouds
2000-01-05,New York,41.39192307692308,moderate rain
2000-01-05,Phoenix,48.27333333333333,sky is clear
2000-01-05,Seattle,42.76958333333334,light rain
2000-01-06,Chicago,30.997500000000002,overcast clouds
2000-01-06,Houston,53.04791666666667,scattered clouds
2000-01-06,Los Angeles,56.73458333333334,sky is clear
2000-01-06,Miami,73.44208333333334,light rain
2000-01-06,New York,32.78875,sky is clear
2000-01-06,Phoenix,50.374583333333334,sky is clear
2000-01-06,Seattle,39.915,broken clouds
2000-01-07,Chicago,28.152916666666666,scattered clouds
2000-01-07,Houston,58.41791666666666,overcast clouds
2000-01-07,Los Angeles,55.810833333333335,sky is clear
2000-01-07,Miami,73.63583333333334,scattered clouds
2000-01-07,New York,38.85791666666667,few clouds
2000-01-07,Phoenix,48.45541666666667,sky is clear
2000-01-07,Seattle,41.73083333333333,light rain
2000-01-08,Chicago,34.13333333333333,few clouds
2000-01-08,Houston,59.723214285714285,overcast clouds
2000-01-08,Los Angeles,55.3425,overcast clouds
2000-01-08,Miami,73.1825,few clouds
2000-01-08,New York,35.13125,few clouds
2000-01-08,Phoenix,48.468333333333334,scattered clouds
2000-01-08,Seattle,45.10708333333333,broken clouds
2000-01-09,Chicago,38.872258064516124,overcast clouds
2000-01-09,Houston,57.74185185185185,mist
2000-01-09,Los Angeles,56.6675,sky is clear
2000-01-09,Miami,73.58833333333332,few clouds
2000-01-09,New York,39.83416666666667,scattered clouds
