Movie Title,Domestic Revenue ($),Genre,Leading Actor,Supporting Actor,Film Rating,Release Date,Miami Revenue ($),Chicago Revenue ($),Houston Revenue ($),Phoenix Revenue ($),Los Angeles Revenue ($),New York Revenue ($),Seattle Revenue ($),Chicago Temperature,Houston Temperature,Los Angeles Temperature,Miami Temperature,New York Temperature,Phoenix Temperature,Seattle Temperature,Chicago Weather Description,Houston Weather Description,Los Angeles Weather Description,Miami Weather Description,New York Weather Description,Phoenix Weather Description,Seattle Weather Description
10th & Wolf,54702,Crime,James Marsden,Giovanni Ribisi,R,2006-08-18,$21.58,$152.58,$116.80,$82.81,$209.69,$451.93,$34.23,76.41916666666667,85.33041666666666,74.59916666666666,83.35583333333334,74.71,93.9725,63.559583333333336,overcast clouds,light rain,sky is clear,scattered clouds,sky is clear,scattered clouds,sky is clear
15 Minutes,24403552,Action,Robert De Niro,Edward Burns,R,2001-03-09,"$9,845.14","$69,624.34","$53,295.13","$37,786.02","$95,682.04","$206,218.21","$15,620.15",29.690833333333337,57.437083333333334,58.10375,66.40291666666667,38.049090909090914,58.11166666666667,46.15708333333333,haze,light rain,overcast clouds,few clouds,overcast clouds,scattered clouds,broken clouds
2 Fast 2 Furious,127154901,Action,Paul Walker,Tyrese Gibson,PG-13,2003-06-05,"$51,298.18","$362,778.20","$277,694.70","$196,884.37","$498,552.03","$1,074,501.61","$81,388.94",60.37291666666667,78.07291666666667,67.31958333333334,81.4008,59.53479166666667,91.47583333333334,64.32416666666667,broken clouds,broken clouds,sky is clear,thunderstorm,mist,few clouds,sky is clear
21,81159365,Crime,Jim Sturgess,Kate Bosworth,PG-13,2008-03-28,"$32,742.17","$231,551.03","$177,244.65","$125,665.71","$318,211.61","$685,823.88","$51,948.25",30.79678571428571,71.27,61.36000000000001,73.72833333333334,44.87625,72.54583333333333,38.504583333333336,light rain and snow,broken clouds,sky is clear,scattered clouds,overcast clouds,few clouds,broken clouds
21 Grams,16290476,Crime,Sean Penn,Benicio Del Toro,R,2003-11-21,"$6,572.08","$46,477.40","$35,576.91","$25,223.88","$63,872.09","$137,659.99","$10,427.16",48.50416666666666,63.625,60.444583333333334,72.89083333333333,49.38583333333333,62.50791666666667,37.7775,scattered clouds,few clouds,sky is clear,scattered clouds,sky is clear,sky is clear,light rain
21 Jump Street,138447667,Action,Jonah Hill,Channing Tatum,R,2012-03-15,"$55,854.03","$394,996.93","$302,357.07","$214,369.89","$542,828.98","$1,169,929.27","$88,617.18",65.10083333333334,74.44625,55.79958333333334,72.86999999999999,48.744166666666665,67.79708333333333,46.27666666666667,sky is clear,scattered clouds,broken clouds,scattered clouds,sky is clear,few clouds,light rain
22 Jump Street,191719337,Action,Channing Tatum,Jonah Hill,R,2014-06-05,"$77,345.45","$546,983.21","$418,697.54","$296,854.79","$751,697.84","$1,620,092.77","$122,715.15",62.7075,82.04666666666667,68.35875,80.25166666666667,67.4435294117647,92.25208333333336,59.74916666666667,broken clouds,sky is clear,sky is clear,broken clouds,broken clouds,few clouds,overcast clouds
30 Minutes or Less,37053924,Action,Jesse Eisenberg,Danny McBride,R,2011-08-11,"$14,948.69","$105,716.38","$80,922.39","$57,373.63","$145,281.93","$313,118.10","$23,717.37",71.31666666666666,89.34791666666666,70.94041666666666,81.71041666666666,75.66333333333334,93.26208333333334,62.54375,scattered clouds,sky is clear,sky is clear,overcast clouds,sky is clear,scattered clouds,scattered clouds
3000 Miles to Graceland,15749959,Action,Kurt Russell,Kevin Costner,R,2001-02-23,"$6,349.45","$44,902.97","$34,371.74","$24,369.42","$61,708.41","$132,996.72","$10,073.94",24.619583333333335,61.72607142857142,49.86166666666667,72.69916666666667,24.603846153846153,58.75083333333333,43.82958333333334,overcast clouds,overcast clouds,overcast clouds,scattered clouds,fog,scattered clouds,scattered clouds
3:10 to Yuma,53606916,Action,Russell Crowe,Christian Bale,R,2007-09-06,"$21,626.67","$152,942.75","$117,072.61","$83,003.99","$210,183.30","$452,996.44","$34,312.56",78.3404,82.23916666666666,73.17958333333333,83.80208333333333,72.27166666666666,91.73041666666668,63.36833333333333,broken clouds,broken clouds,sky is clear,scattered clouds,few clouds,scattered clouds,broken clouds
